"Statistic Label","Quarter","Migration Flow","Age Group","Nationality","Migration Calculation Method","UNIT","VALUE"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","All nationalities","Base plus education migration calculation method","Number","13900"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","1698"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","1833"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1980"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1929"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Other nationalities (3)","Base migration calculation method","Number","3368"
"Estimated migration flows","2022Q3","Net migration","0 - 24 years","Other nationalities (3)","Base plus education migration calculation method","Number","3252"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Ireland","Base migration calculation method","Number","-1027"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Ireland","Base plus education migration calculation method","Number","-1637"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","55"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","45"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Brazil","Base migration calculation method","Number","1678"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Brazil","Base plus education migration calculation method","Number","1682"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","India","Base migration calculation method","Number","2183"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","India","Base plus education migration calculation method","Number","2191"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Ukraine","Base migration calculation method","Number","2368"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Ukraine","Base plus education migration calculation method","Number","2368"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","All nationalities","Base migration calculation method","Number","10326"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","All nationalities","Base plus education migration calculation method","Number","9680"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","843"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","851"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","-192"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","-216"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Other nationalities (3)","Base migration calculation method","Number","4418"
"Estimated migration flows","2022Q3","Net migration","25 - 34 years","Other nationalities (3)","Base plus education migration calculation method","Number","4396"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Ireland","Base migration calculation method","Number","-440"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Ireland","Base plus education migration calculation method","Number","-521"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","-5"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","-6"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Brazil","Base migration calculation method","Number","479"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Brazil","Base plus education migration calculation method","Number","477"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","India","Base migration calculation method","Number","976"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","India","Base plus education migration calculation method","Number","981"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Ukraine","Base migration calculation method","Number","2851"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Ukraine","Base plus education migration calculation method","Number","2851"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","All nationalities","Base migration calculation method","Number","5231"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","All nationalities","Base plus education migration calculation method","Number","5157"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","102"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","101"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","-588"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","-583"
"Estimated migration flows","2022Q3","Net migration","35 - 44 years","Other nationalities (3)","Base migration calculation method","Number","1856"
