"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Africa","Number","18310"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","China","Number","3"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","India","Number","0"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Other Asia(1)","Number","31"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Australia","Number","4"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","United States of America (the)","Number","132"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Brazil","Number","131"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Other America(1)","Number","66"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Other countries","Number","241"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Multiple/Dual citizenship","Number","119"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","No citizenship","Number","1027"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - African","Citizenship not stated","Number","775"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","All citizenships","Number","8699"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Ireland","Number","3221"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Croatia","Number","21"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","France","Number","188"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Germany","Number","27"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Italy","Number","99"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Latvia","Number","26"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Lithuania","Number","66"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Poland","Number","119"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Romania","Number","103"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Spain","Number","75"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Ukraine","Number","23"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","United Kingdom of Great Britain and Northern Ireland (the)","Number","415"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Other EU27 (2020)","Number","306"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Rest of Europe(1)","Number","28"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Africa","Number","472"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","China","Number","0"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","India","Number","4"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Other Asia(1)","Number","47"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Australia","Number","9"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","United States of America (the)","Number","199"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Brazil","Number","2437"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Other America(1)","Number","307"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Other countries","Number","57"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Multiple/Dual citizenship","Number","114"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","No citizenship","Number","238"
"Population Usually Resident and Present in the State","2022","Black or Black Irish - any other Black background","Citizenship not stated","Number","98"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","All citizenships","Number","26828"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Ireland","Number","10800"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Croatia","Number","0"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","France","Number","37"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Germany","Number","23"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Italy","Number","22"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Latvia","Number","0"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Lithuania","Number","3"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Poland","Number","5"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Romania","Number","0"
