"Statistic Label","Month","County","Driving Test Categories","UNIT","VALUE"
"Driving Tests Delivered","2021 January","Co. Longford","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Longford","CPC Practical Test (Truck/Artic)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","All Test Categories","Number","400"
"Driving Tests Delivered","2021 January","Co. Louth","Category B (Car or light van)","Number","359"
"Driving Tests Delivered","2021 January","Co. Louth","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2021 January","Co. Louth","Category A (Motorcycle All)","Number","6"
"Driving Tests Delivered","2021 January","Co. Louth","Category BE (Car with Trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category C (Truck)","Number","19"
"Driving Tests Delivered","2021 January","Co. Louth","Category CE (Articulated Truck)","Number","6"
"Driving Tests Delivered","2021 January","Co. Louth","Category D1 (Minibus)","Number","2"
"Driving Tests Delivered","2021 January","Co. Louth","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category D (Bus)","Number","4"
"Driving Tests Delivered","2021 January","Co. Louth","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Louth","CPC Practical Test (Bus)","Number","1"
"Driving Tests Delivered","2021 January","Co. Louth","CPC Practical Test (Truck/Artic)","Number","2"
"Driving Tests Delivered","2021 January","Co. Limerick","All Test Categories","Number","905"
"Driving Tests Delivered","2021 January","Co. Limerick","Category B (Car or light van)","Number","845"
"Driving Tests Delivered","2021 January","Co. Limerick","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Limerick","Category A1 (Motorcycle - low power)","Number","1"
"Driving Tests Delivered","2021 January","Co. Limerick","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2021 January","Co. Limerick","Category A (Motorcycle All)","Number","9"
"Driving Tests Delivered","2021 January","Co. Limerick","Category BE (Car with Trailer)","Number","4"
"Driving Tests Delivered","2021 January","Co. Limerick","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 January","Co. Limerick","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Limerick","Category C (Truck)","Number","16"
"Driving Tests Delivered","2021 January","Co. Limerick","Category CE (Articulated Truck)","Number","14"
"Driving Tests Delivered","2021 January","Co. Limerick","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2021 January","Co. Limerick","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Limerick","Category D (Bus)","Number","9"
"Driving Tests Delivered","2021 January","Co. Limerick","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Limerick","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Limerick","CPC Practical Test (Bus)","Number","1"
"Driving Tests Delivered","2021 January","Co. Limerick","CPC Practical Test (Truck/Artic)","Number","3"
"Driving Tests Delivered","2021 January","Co. Leitrim","All Test Categories","Number","81"
"Driving Tests Delivered","2021 January","Co. Leitrim","Category B (Car or light van)","Number","78"
"Driving Tests Delivered","2021 January","Co. Leitrim","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category BE (Car with Trailer)","Number","1"
"Driving Tests Delivered","2021 January","Co. Leitrim","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category C (Truck)","Number","1"
"Driving Tests Delivered","2021 January","Co. Leitrim","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Leitrim","CPC Practical Test (Truck/Artic)","Number","1"
"Driving Tests Delivered","2021 January","Co. Laois","All Test Categories","Number","134"
"Driving Tests Delivered","2021 January","Co. Laois","Category B (Car or light van)","Number","134"
"Driving Tests Delivered","2021 January","Co. Laois","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category BE (Car with Trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category C (Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Laois","CPC Practical Test (Bus)","Number",""
