"Statistic Label","Year","County","UNIT","VALUE"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","Co. Waterford","Euro Million","1288.29"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","Co. Westmeath","Euro Million","1027.26"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","Co. Wexford","Euro Million","1384.28"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","Co. Wicklow","Euro Million","1880.28"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Ireland","Euro Million","59115.76"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Carlow","Euro Million","637.03"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Cavan","Euro Million","692.79"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Clare","Euro Million","1340.41"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Cork","Euro Million","6653"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Donegal","Euro Million","1279.1"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Dublin","Euro Million","19932.66"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Galway","Euro Million","2905.13"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Kerry","Euro Million","1464.41"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Kildare","Euro Million","3199.1"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Kilkenny","Euro Million","998.74"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Laois","Euro Million","880.54"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Leitrim","Euro Million","321.47"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Limerick","Euro Million","2404.11"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Longford","Euro Million","418.53"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Louth","Euro Million","1573.68"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Mayo","Euro Million","1272.38"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Co. Meath","Euro Million","2563.77"
